ID	dnds	low_ci	high_ci	muts	Pvalue
PD30272_15	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_16	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_17	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_18	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_19	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_20	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_21	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_22	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_23	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_24	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_25	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_26	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_27	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_28	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_29	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_30	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_31	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_3	2.11330045291755	1.3583847786221	3.28775680837039	87	0.000948990680667127
PD30272_32	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_33	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_34	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_35	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_36	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_37	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
