Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BLCA	TCGA.DK.A6AV.01A.12D.A30D.01	0.46	3.24846163628256
BLCA	TCGA.DK.A6AW.01A.11D.A30D.01	0.88	1.94015527741636
BLCA	TCGA.DK.A6B0.01A.11D.A31K.01	0.91	1.95467512079508
BLCA	TCGA.DK.A6B1.01A.12D.A30D.01	0.79	3.28196495179581
BLCA	TCGA.DK.A6B2.01A.11D.A30D.01	0.4	3.45279509900449
BLCA	TCGA.DK.A6B5.01A.11D.A31K.01	0.75	1.66031774061974
BLCA	TCGA.DK.A6B6.01A.11D.A30D.01	0.47	3.52312418472693
BLCA	TCGA.E5.A2PC.01A.11D.A201.01	0.69	3.5027102189777
BLCA	TCGA.E5.A4U1.01A.11D.A31K.01	0.78	3.37507587002721
BLCA	TCGA.E7.A3X6.01A.12D.A22Y.01	0.39	5.24494981888374
BLCA	TCGA.E7.A3Y1.01A.11D.A22Y.01	0.64	1.99231609466358
BLCA	TCGA.E7.A4IJ.01A.31D.A26L.01	0.64	1.68545855483494
BLCA	TCGA.E7.A4XJ.01A.11D.A26L.01	0.7	1.97188047159643
BLCA	TCGA.E7.A519.01A.11D.A26L.01	0.43	3.86846788913896
BLCA	TCGA.E7.A5KE.01A.11D.A288.01	0.74	3.08448408659151
BLCA	TCGA.E7.A5KF.01A.11D.A288.01	0.71	4.09616904258551
BLCA	TCGA.E7.A677.01A.11D.A30D.01	0.85	1.99251489773581
BLCA	TCGA.E7.A678.01A.11D.A30D.01	1	1.95409481573787
BLCA	TCGA.E7.A6ME.01A.22D.A32A.01	0.71	2.04996620903088
BLCA	TCGA.E7.A6MF.01A.12D.A32A.01	0.29	1.95419865980074
BLCA	TCGA.E7.A7DU.01A.11D.A32A.01	0.61	3.58126408766882
BLCA	TCGA.FD.A3B3.01A.12D.A201.01	0.28	1.88941551341449
BLCA	TCGA.FD.A3B4.01A.12D.A201.01	0.61	2.05830483174763
BLCA	TCGA.FD.A3B5.01A.11D.A20B.01	0.6	2.62552220513701
BLCA	TCGA.FD.A3B6.01A.21D.A20B.01	0.39	3.31501624021186
BLCA	TCGA.FD.A3B7.01A.31D.A20B.01	0.31	1.76056724402855
BLCA	TCGA.FD.A3B8.01A.31D.A20B.01	1	1.95503218888291
BLCA	TCGA.FD.A3N5.01A.11D.A219.01	0.66	3.19914570210526
